timestamp,hour,day,month,weekday,is_weekend
2023-01-01 00:39:39,0,1,1,Sunday,1
2023-01-01 01:06:53,1,1,1,Sunday,1
2023-01-01 02:56:18,2,1,1,Sunday,1
2023-01-01 02:58:30,2,1,1,Sunday,1
2023-01-01 03:13:53,3,1,1,Sunday,1
2023-01-01 03:23:03,3,1,1,Sunday,1
2023-01-01 03:42:51,3,1,1,Sunday,1
2023-01-01 04:04:29,4,1,1,Sunday,1
2023-01-01 04:26:29,4,1,1,Sunday,1
2023-01-01 05:41:05,5,1,1,Sunday,1
2023-01-01 06:02:19,6,1,1,Sunday,1
2023-01-01 06:16:26,6,1,1,Sunday,1
2023-01-01 06:28:48,6,1,1,Sunday,1
2023-01-01 06:31:28,6,1,1,Sunday,1
2023-01-01 06:47:03,6,1,1,Sunday,1
2023-01-01 06:49:30,6,1,1,Sunday,1
2023-01-01 06:55:48,6,1,1,Sunday,1
2023-01-01 06:57:09,6,1,1,Sunday,1
2023-01-01 07:05:57,7,1,1,Sunday,1
2023-01-01 07:08:02,7,1,1,Sunday,1
2023-01-01 07:17:45,7,1,1,Sunday,1
2023-01-01 07:23:03,7,1,1,Sunday,1
2023-01-01 07:26:58,7,1,1,Sunday,1
2023-01-01 07:47:51,7,1,1,Sunday,1
2023-01-01 07:48:37,7,1,1,Sunday,1
2023-01-01 07:53:16,7,1,1,Sunday,1
2023-01-01 07:56:46,7,1,1,Sunday,1
2023-01-01 08:00:14,8,1,1,Sunday,1
2023-01-01 08:01:14,8,1,1,Sunday,1
2023-01-01 08:08:01,8,1,1,Sunday,1
2023-01-01 08:08:18,8,1,1,Sunday,1
2023-01-01 08:17:24,8,1,1,Sunday,1
2023-01-01 08:21:11,8,1,1,Sunday,1
2023-01-01 08:29:45,8,1,1,Sunday,1
2023-01-01 08:34:50,8,1,1,Sunday,1
2023-01-01 08:37:51,8,1,1,Sunday,1
2023-01-01 08:50:29,8,1,1,Sunday,1
2023-01-01 08:58:50,8,1,1,Sunday,1
2023-01-01 09:21:46,9,1,1,Sunday,1
2023-01-01 09:23:59,9,1,1,Sunday,1
2023-01-01 09:27:25,9,1,1,Sunday,1
2023-01-01 09:37:35,9,1,1,Sunday,1
2023-01-01 09:50:53,9,1,1,Sunday,1
2023-01-01 09:52:20,9,1,1,Sunday,1
2023-01-01 10:01:05,10,1,1,Sunday,1
2023-01-01 10:03:56,10,1,1,Sunday,1
2023-01-01 10:06:13,10,1,1,Sunday,1
2023-01-01 10:10:10,10,1,1,Sunday,1
2023-01-01 10:20:03,10,1,1,Sunday,1
2023-01-01 10:25:36,10,1,1,Sunday,1
2023-01-01 10:28:04,10,1,1,Sunday,1
2023-01-01 10:34:29,10,1,1,Sunday,1
2023-01-01 10:41:40,10,1,1,Sunday,1
2023-01-01 11:03:09,11,1,1,Sunday,1
2023-01-01 11:27:09,11,1,1,Sunday,1
2023-01-01 11:28:54,11,1,1,Sunday,1
2023-01-01 11:46:49,11,1,1,Sunday,1
2023-01-01 11:57:27,11,1,1,Sunday,1
2023-01-01 12:07:42,12,1,1,Sunday,1
2023-01-01 12:10:10,12,1,1,Sunday,1
2023-01-01 12:11:58,12,1,1,Sunday,1
2023-01-01 12:13:03,12,1,1,Sunday,1
2023-01-01 12:15:57,12,1,1,Sunday,1
2023-01-01 12:39:17,12,1,1,Sunday,1
2023-01-01 12:39:50,12,1,1,Sunday,1
2023-01-01 12:41:42,12,1,1,Sunday,1
2023-01-01 12:52:35,12,1,1,Sunday,1
2023-01-01 13:01:13,13,1,1,Sunday,1
2023-01-01 13:08:21,13,1,1,Sunday,1
2023-01-01 13:52:31,13,1,1,Sunday,1
2023-01-01 14:04:51,14,1,1,Sunday,1
2023-01-01 14:11:17,14,1,1,Sunday,1
2023-01-01 14:14:00,14,1,1,Sunday,1
2023-01-01 15:13:56,15,1,1,Sunday,1
2023-01-01 15:14:47,15,1,1,Sunday,1
2023-01-01 15:18:29,15,1,1,Sunday,1
2023-01-01 15:42:56,15,1,1,Sunday,1
2023-01-01 15:56:51,15,1,1,Sunday,1
2023-01-01 15:58:49,15,1,1,Sunday,1
2023-01-01 15:59:48,15,1,1,Sunday,1
2023-01-01 16:09:14,16,1,1,Sunday,1
2023-01-01 16:16:12,16,1,1,Sunday,1
2023-01-01 16:33:09,16,1,1,Sunday,1
2023-01-01 16:36:55,16,1,1,Sunday,1
2023-01-01 16:44:31,16,1,1,Sunday,1
2023-01-01 16:52:00,16,1,1,Sunday,1
2023-01-01 17:08:34,17,1,1,Sunday,1
2023-01-01 17:10:15,17,1,1,Sunday,1
2023-01-01 17:20:52,17,1,1,Sunday,1
2023-01-01 17:46:44,17,1,1,Sunday,1
2023-01-01 17:49:16,17,1,1,Sunday,1
2023-01-01 18:12:16,18,1,1,Sunday,1
2023-01-01 18:41:23,18,1,1,Sunday,1
2023-01-01 20:10:12,20,1,1,Sunday,1
2023-01-01 20:12:08,20,1,1,Sunday,1
2023-01-01 20:22:48,20,1,1,Sunday,1
2023-01-01 22:28:52,22,1,1,Sunday,1
2023-01-02 05:47:39,5,2,1,Monday,0
2023-01-02 05:50:44,5,2,1,Monday,0
2023-01-02 07:09:20,7,2,1,Monday,0
2023-01-02 07:50:11,7,2,1,Monday,0
2023-01-02 07:59:16,7,2,1,Monday,0
2023-01-02 08:03:07,8,2,1,Monday,0
